	0	1	2	3	4	5
289			265			Sản xuất thiết bị đo lường, kiểm tra, định hướng và điều khiển; sản xuất đồng hồ
290				2651	26510	Sản xuất thiết bị đo lường, kiểm tra, định hướng và điều khiển
291				2652	26520	Sản xuất đồng hồ
292			266	2660	26600	Sản xuất thiết bị bức xạ, thiết bị điện tử trong y học, điện liệu pháp
293			267	2670	26700	Sản xuất thiết bị và dụng cụ quang học
294			268	2680	26800	Sản xuất băng, đĩa từ tính và quang học
295		27				Sản xuất thiết bị điện
296			271	2710		Sản xuất mô tơ, máy phát, biến thế điện, thiết bị phân phối và điều khiển điện
297					27101	Sản xuất mô tơ, máy phát
298					27102	Sản xuất biến thế điện, thiết bị phân phối và điều khiển điện
299			272	2720	27200	Sản xuất pin và ắc quy
300			273			Sản xuất dây và thiết bị dây dẫn
301				2731	27310	Sản xuất dây cáp, sợi cáp quang học
302				2732	27320	Sản xuất dây, cáp điện và điện tử khác
303				2733	27330	Sản xuất thiết bị dây dẫn điện các loại
304			274	2740	27400	Sản xuất thiết bị điện chiếu sáng
305			275	2750	27500	Sản xuất đồ điện dân dụng
306			279	2790	27900	Sản xuất thiết bị điện khác
307		28				Sản xuất máy móc, thiết bị chưa được phân vào đâu
308			281			Sản xuất máy thông dụng
309				2811	28110	Sản xuất động cơ, tua bin (trừ động cơ máy bay, ô tô, mô tô và xe máy)
310				2812	28120	Sản xuất thiết bị sử dụng năng lượng chiết lưu
311				2813	28130	Sản xuất máy bơm, máy nén, vòi và van khác
312				2814	28140	Sản xuất bi, bánh răng, hộp số, các bộ phận điều khiển và truyền chuyển động
313				2815	28150	Sản xuất lò nướng, lò luyện và lò nung
314				2816	28160	Sản xuất các thiết bị nâng, hạ và bốc xếp
315				2817	28170	Sản xuất máy móc và thiết bị văn phòng (trừ máy vi tính và thiết bị ngoại vi của máy vi tính)
316				2818	28180	Sản xuất dụng cụ cầm tay chạy bằng mô tơ hoặc khí nén
317				2819	28190	Sản xuất máy thông dụng khác
318			282			Sản xuất máy chuyên dụng
319				2821	28210	Sản xuất máy nông nghiệp và lâm nghiệp
320				2822	28220	Sản xuất máy công cụ và máy tạo hình kim loại
321				2823	28230	Sản xuất máy luyện kim
322				2824	28240	Sản xuất máy khai thác mỏ và xây dựng
323				2825	28250	Sản xuất máy chế biến thực phẩm, đồ uống và thuốc lá
324				2826	28260	Sản xuất máy cho ngành dệt, may và da
325				2829		Sản xuất máy chuyên dụng khác
326					28291	Sản xuất máy sản xuất vật liệu xây dựng
327					28299	Sản xuất máy chuyên dụng khác chưa được phân vào đâu
328		29				Sản xuất ô tô và xe có động cơ khác
329			291	2910	29100	Sản xuất ô tô và xe có động cơ khác
330			292	2920	29200	Sản xuất thân xe ô tô và xe có động cơ khác, rơ moóc và bán rơ moóc
331			293	2930	29300	Sản xuất phụ tùng và bộ phận phụ trợ cho xe ô tô và xe có động cơ khác
332		30				Sản xuất phương tiện vận tải khác
333			301			Đóng tàu và thuyền
334				3011	30110	Đóng tàu và cấu kiện nổi
335				3012	30120	Đóng thuyền, xuồng thể thao và giải trí
336			302	3020	30200	Sản xuất đầu máy xe lửa, xe điện và toa xe
337			303	3030	30300	Sản xuất máy bay, tàu vũ trụ và máy móc liên quan
338			304	3040	30400	Sản xuất xe cơ giới chiến đấu dùng trong quân đội
339			309			Sản xuất phương tiện và thiết bị vận tải chưa được phân vào đâu
340				3091	30910	Sản xuất mô tô, xe máy
341				3092	30920	Sản xuất xe đạp và xe cho người khuyết tật
342				3099	30990	Sản xuất phương tiện và thiết bị vận tải khác chưa được phân vào đâu
343		31	310	3100		Sản xuất giường, tủ, bàn, ghế
344					31001	Sản xuất giường, tủ, bàn, ghế bằng gỗ
345					31002	Sản xuất giường, tủ, bàn, ghế bằng kim loại
346					31009	Sản xuất giường, tủ, bàn, ghế bằng vật liệu khác
347		32				Công nghiệp chế biến, chế tạo khác
348			321			Sản xuất đồ kim hoàn, đồ giả kim hoàn và các chi tiết liên quan
349				3211	32110	Sản xuất đồ kim hoàn và chi tiết liên quan
350				3212	32120	Sản xuất đồ giả kim hoàn và chi tiết liên quan
351			322	3220	32200	Sản xuất nhạc cụ
352			323	3230	32300	Sản xuất dụng cụ thể dục, thể thao
353			324	3240	32400	Sản xuất đồ chơi, trò chơi
354			325	3250		Sản xuất thiết bị, dụng cụ y tế, nha khoa, chỉnh hình và phục hồi chức năng
355					32501	Sản xuất thiết bị, dụng cụ y tế, nha khoa
356					32502	Sản xuất dụng cụ chỉnh hình, phục hồi chức năng
357			329	3290	32900	Sản xuất khác chưa được phân vào đâu
358		33				Sửa chữa, bảo dưỡng và lắp đặt máy móc và thiết bị
359			331			Sửa chữa và bảo dưỡng máy móc, thiết bị và sản phẩm kim loại đúc sẵn
360				3311	33110	Sửa chữa các sản phẩm kim loại đúc sẵn
361				3312	33120	Sửa chữa máy móc, thiết bị
362				3313	33130	Sửa chữa thiết bị điện tử và quang học
363				3314	33140	Sửa chữa thiết bị điện
364				3315	33150	Sửa chữa và bảo dưỡng phương tiện vận tải (trừ ô tô, mô tô, xe máy và xe có động cơ khác)
365				3319	33190	Sửa chữa thiết bị khác
366			332	3320	33200	Lắp đặt máy móc và thiết bị công nghiệp
367	D					SẢN XUẤT VÀ PHÂN PHỐI ĐIỆN, KHÍ ĐỐT, NƯỚC NÓNG, HƠI NƯỚC VÀ ĐIỀU HOÀ KHÔNG KHÍ
368		35				Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hoà không khí
369			351			Sản xuất, truyền tải và phân phối điện
370				3511		Sản xuất điện
371					35111	Thủy điện
372					35112	Nhiệt điện than
373					35113	Nhiệt điện khí
374					35114	Điện hạt nhân
375					35115	Điện gió
376					35116	Điện mặt trời
377					35119	Điện khác
378				3512		Truyền tải và phân phối điện
379					35121	Truyền tải điện
380					35122	Phân phối điện
381			352	3520		Sản xuất khí đốt, phân phối nhiên liệu khí bằng đường ống
382					35201	Sản xuất khí đốt
383					35202	Phân phối nhiên liệu khí bằng đường ống
384			353	3530		Sản xuất, phân phối hơi nước, nước nóng, điều hoà không khí và sản xuất nước đá
385					35301	Sản xuất, phân phối hơi nước, nước nóng và điều hoà không khí
386					35302	Sản xuất nước đá
387	E					CUNG CẤP NƯỚC; HOẠT ĐỘNG QUẢN LÝ VÀ XỬ LÝ RÁC THẢI, NƯỚC THẢI
388		36	360	3600	36000	Khai thác, xử lý và cung cấp nước
389		37	370	3700		Thoát nước và xử lý nước thải
390					37001	Thoát nước
391					37002	Xử lý nước thải
392		38				Hoạt động thu gom, xử lý và tiêu huỷ rác thải; tái chế phế liệu
393			381			Thu gom rác thải
394				3811	38110	Thu gom rác thải không độc hại
395				3812		Thu gom rác thải độc hại
396					38121	Thu gom rác thải y tế
397					38129	Thu gom rác thải độc hại khác
398			382			Xử lý và tiêu huỷ rác thải
399				3821	38210	Xử lý và tiêu huỷ rác thải không độc hại
400				3822		Xử lý và tiêu huỷ rác thải độc hại
401					38221	Xử lý và tiêu huỷ rác thải y tế
402					38229	Xử lý và tiêu huỷ rác thải độc hại khác
403			383	3830		Tái chế phế liệu
404					38301	Tái chế phế liệu kim loại
405					38302	Tái chế phế liệu phi kim loại
406		39	390	3900	39000	Xử lý ô nhiễm và hoạt động quản lý chất thải khác
407	F					XÂY DỰNG
408		41	410			Xây dựng nhà các loại
409				4101	41010	Xây dựng nhà để ở
410				4102	41020	Xây dựng nhà không để ở
411		42				Xây dựng công trình kỹ thuật dân dụng
412			421			Xây dựng công trình đường sắt và đường bộ
413				4211	42110	Xây dựng công trình đường sắt
414				4212	42120	Xây dựng công trình đường bộ
415			422			Xây dựng công trình công ích
416				4221	42210	Xây dựng công trình điện
417				4222	42220	Xây dựng công trình cấp, thoát nước
418				4223	42230	Xây dựng công trình viễn thông, thông tin liên lạc
419				4229	42290	Xây dựng công trình công ích khác
420			429			Xây dựng công trình kỹ thuật dân dụng khác
421				4291	42910	Xây dựng công trình thủy
422				4292	42920	Xây dựng công trình khai khoáng
423				4293	42930	Xây dựng công trình chế biến, chế tạo
424				4299	42990	Xây dựng công trình kỹ thuật dân dụng khác
425		43				Hoạt động xây dựng chuyên dụng
426			431			Phá dỡ và chuẩn bị mặt bằng
427				4311	43110	Phá dỡ
428				4312	43120	Chuẩn bị mặt bằng
429			432			Lắp đặt hệ thống điện, hệ thống cấp thoát nước và lắp đặt xây dựng khác
430				4321	43210	Lắp đặt hệ thống điện
431				4322		Lắp đặt hệ thống cấp, thoát nước, hệ thống sưởi và điều hoà không khí
432					43221	Lắp đặt hệ thống cấp, thoát nước
433					43222	Lắp đặt hệ thống sưởi và điều hoà không khí
434				4329	43290	Lắp đặt hệ thống xây dựng khác
435			433	4330	43300	Hoàn thiện công trình xây dựng
436			439	4390	43900	Hoạt động xây dựng chuyên dụng khác
437	G					BÁN BUÔN VÀ BÁN LẺ; SỬA CHỮA Ô TÔ, MÔ TÔ, XE MÁY VÀ XE CÓ ĐỘNG CƠ KHÁC
438		45				Bán, sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác
439			451			Bán ô tô và xe có động cơ khác
440				4511		Bán buôn ô tô và xe có động cơ khác
441					45111	Bán buôn ô tô con (loại 9 chỗ ngồi trở xuống)
442					45119	Bán buôn xe có động cơ khác
443				4512	45120	Bán lẻ ô tô con (loại 9 chỗ ngồi trở xuống)
444				4513		Đại lý ô tô và xe có động cơ khác
445					45131	Đại lý ô tô con (loại 9 chỗ ngồi trở xuống)
446					45139	Đại lý xe có động cơ khác
447			452	4520	45200	Bảo dưỡng, sửa chữa ô tô và xe có động cơ khác
448			453	4530		Bán phụ tùng và các bộ phận phụ trợ của ô tô và xe có động cơ khác
449					45301	Bán buôn phụ tùng và các bộ phận phụ trợ của ô tô và xe có động cơ khác
450					45302	Bán lẻ phụ tùng và các bộ phận phụ trợ của ô tô con (loại 9 chỗ ngồi trở xuống)
451					45303	Đại lý phụ tùng và các bộ phận phụ trợ của ô tô và xe có động cơ khác
452			454			Bán, bảo dưỡng và sửa chữa mô tô, xe máy, phụ tùng và các bộ phận phụ trợ của mô tô, xe máy
453				4541		Bán mô tô, xe máy
454					45411	Bán buôn mô tô, xe máy
455					45412	Bán lẻ mô tô, xe máy
456					45413	Đại lý mô tô, xe máy
457				4542	45420	Bảo dưỡng và sửa chữa mô tô, xe máy
458				4543		Bán phụ tùng và các bộ phận phụ trợ của mô tô, xe máy
459					45431	Bán buôn phụ tùng và các bộ phận phụ trợ của mô tô, xe máy
460					45432	Bán lẻ phụ tùng và các bộ phận phụ trợ của mô tô, xe máy
461					45433	Đại lý phụ tùng và các bộ phận phụ trợ của mô tô, xe máy
462		46				Bán buôn (trừ ô tô, mô tô, xe máy và xe có động cơ khác)
463			461	4610		Đại lý, môi giới, đấu giá hàng hóa
464					46101	Đại lý bán hàng hóa
465					46102	Môi giới mua bán hàng hóa
466					46103	Đấu giá hàng hóa
467			462	4620		Bán buôn nông, lâm sản nguyên liệu (trừ gỗ, tre, nứa) và động vật sống
468					46201	Bán buôn thóc, ngô và các loại hạt ngũ cốc khác
469					46202	Bán buôn hoa và cây
470					46203	Bán buôn động vật sống
471					46204	Bán buôn thức ăn và nguyên liệu làm thức ăn cho gia súc, gia cầm và thuỷ sản
472					46209	Bán buôn nông, lâm sản nguyên liệu khác (trừ gỗ, tre, nứa)
473			463			Bán buôn lương thực, thực phẩm, đồ uống và sản phẩm thuốc lá, thuốc lào
474				4631	46310	Bán buôn gạo, lúa mỳ, hạt ngũ cốc khác, bột mỳ
475				4632		Bán buôn thực phẩm
476					46321	Bán buôn thịt và các sản phẩm từ thịt
477					46322	Bán buôn thủy sản
478					46323	Bán buôn rau, quả
479					46324	Bán buôn cà phê
480					46325	Bán buôn chè
